environment,reference_environment,intersection_count,queue_length_distribution_error_pct,overflow_count_error,overflow_duration_error_minutes,speed_distribution_error_kmh,throughput_error_pct,phase_switch_timing_error_seconds
cityflow_default,sumo_target,25,63.149,694.0771,11.568,7.5932,3.8583,0.2605
cityflow_calibrated,sumo_target,25,17.7414,194.2451,3.2419,2.1414,1.2005,0.0729
