environment,intersection_id,city,city_label,topology,lane_profile,risk_level,day_index,time_window,arrival_demand,exit_lane_capacity,queue_length,overflow_count,overflow_duration_seconds,speed_kmh,throughput,stop_frequency,average_delay_seconds,safety_violation_rate,phase_switch_timing_error_seconds
sumo,city1_i02,city_1,City 1,4way,balanced,medium,1,evening,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5497
sumo,city1_i02,city_1,City 1,4way,balanced,medium,2,am_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5992
sumo,city1_i02,city_1,City 1,4way,balanced,medium,2,midday,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.6022
sumo,city1_i02,city_1,City 1,4way,balanced,medium,2,pm_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5617
sumo,city1_i02,city_1,City 1,4way,balanced,medium,2,evening,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5139
sumo,city1_i02,city_1,City 1,4way,balanced,medium,3,am_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5859
sumo,city1_i02,city_1,City 1,4way,balanced,medium,3,midday,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.603
sumo,city1_i02,city_1,City 1,4way,balanced,medium,3,pm_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5281
sumo,city1_i02,city_1,City 1,4way,balanced,medium,3,evening,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5051
sumo,city1_i02,city_1,City 1,4way,balanced,medium,4,am_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5635
sumo,city1_i02,city_1,City 1,4way,balanced,medium,4,midday,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.4525
sumo,city1_i02,city_1,City 1,4way,balanced,medium,4,pm_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.4663
sumo,city1_i02,city_1,City 1,4way,balanced,medium,4,evening,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5842
sumo,city1_i02,city_1,City 1,4way,balanced,medium,5,am_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.4746
sumo,city1_i02,city_1,City 1,4way,balanced,medium,5,midday,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.5624
sumo,city1_i02,city_1,City 1,4way,balanced,medium,5,pm_peak,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.561
sumo,city1_i02,city_1,City 1,4way,balanced,medium,5,evening,900.0,3496.0,1222.7758,857.0,857.0,10.3304,874.0,0.6803,153.0744,0.24,0.4783
