arrival_demand,average_delay_seconds,average_travel_time,exit_lane_capacity,mean_vehicle_distance,overflow_count,overflow_duration_seconds,phase_switch_timing_error_seconds,queue_length,safety_violation_rate,speed_kmh,stop_frequency,throughput,environment,intersection_id,city,city_label,topology,lane_profile,risk_level,day_index,time_window
897.0117,131.3904,110.9078,2733.0622,192.7061,614.7584,610.1798,0.4337,974.2767,0.2366,12.9052,1.4999,863.2732,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,7,midday
902.1926,130.6654,110.9078,2776.7321,192.7061,624.1824,622.9981,0.459,965.4814,0.2333,12.8442,1.5028,852.1765,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,7,pm_peak
894.4245,130.5185,110.9078,2749.9662,192.7061,613.7806,617.0107,0.4679,957.1783,0.2327,12.999,1.5109,862.6831,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,7,evening
889.4823,131.6534,110.9078,2767.9271,192.7061,621.1665,613.7608,0.4228,961.9932,0.2341,13.071,1.5323,853.8204,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,1,am_peak
895.894,129.8208,110.9078,2744.2278,192.7061,618.3347,616.3935,0.4923,958.0521,0.2333,13.0027,1.5252,855.3638,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,1,midday
901.646,131.5139,110.9078,2725.7419,192.7061,610.4363,615.0763,0.4537,958.6946,0.2321,12.9818,1.5117,862.8024,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,1,pm_peak
908.8992,130.0187,110.9078,2758.748,192.7061,622.8469,623.291,0.4584,971.9592,0.2339,12.8485,1.5219,855.2776,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,1,evening
904.4062,129.7814,110.9078,2771.9263,192.7061,620.0326,614.4741,0.5045,960.4318,0.2326,13.0992,1.5283,849.6755,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,2,am_peak
904.6004,130.9006,110.9078,2723.6461,192.7061,611.8769,610.5501,0.502,965.9412,0.2371,12.8936,1.5012,853.9509,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,2,midday
903.7876,129.9882,110.9078,2716.1477,192.7061,620.1943,624.2991,0.4768,955.6777,0.2346,12.9127,1.527,847.9543,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,2,pm_peak
892.0583,130.1728,110.9078,2758.8108,192.7061,623.8699,623.0628,0.4385,964.7183,0.2357,12.9065,1.5203,848.2731,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,2,evening
892.1872,129.6774,110.9078,2745.7922,192.7061,619.0576,615.3264,0.486,966.7141,0.2356,12.9013,1.5312,851.2359,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,3,am_peak
895.709,130.7515,110.9078,2728.7678,192.7061,622.194,622.5871,0.4979,968.0705,0.2335,12.9002,1.5008,851.0988,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,3,midday
905.973,130.6869,110.9078,2746.5571,192.7061,621.2393,621.587,0.4493,960.2263,0.2362,12.828,1.5277,848.9351,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,3,pm_peak
910.7094,130.0892,110.9078,2774.91,192.7061,611.4716,619.6787,0.426,962.7191,0.2325,12.9732,1.524,853.1417,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,3,evening
907.6908,131.4309,110.9078,2735.2681,192.7061,617.0676,623.3128,0.4724,956.5351,0.2327,12.8795,1.519,862.9164,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,4,am_peak
910.199,131.0298,110.9078,2765.1626,192.7061,624.1154,618.2075,0.3902,953.7283,0.2344,12.8768,1.5069,862.793,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,4,midday
908.9227,129.5674,110.9078,2731.5684,192.7061,615.5931,617.2731,0.4027,970.4489,0.2332,12.9381,1.4979,854.5155,cityflow_calibrated,city1_i02,city_1,City 1,4way,balanced,medium,4,pm_peak
