method,split,intersection_id,city,topology,lane_profile,risk_level,overflow_count,overflow_duration_minutes,overflow_switch_success,throughput,stop_frequency,average_delay_seconds,safety_violation_rate
calibrated_sim,test,city3_i10,city_3,4way,balanced,medium,17795.1149,300.5952,0.6916,25801.4929,0.6376,141.3092,0.1891
calibrated_sim_plus_domain_randomization,test,city3_i10,city_3,4way,balanced,medium,15458.4823,267.3766,0.7604,26108.2989,0.6034,133.8267,0.1618
calibrated_sim_plus_opm,test,city3_i10,city_3,4way,balanced,medium,13724.5408,231.4529,0.8165,26287.2691,0.5969,131.466,0.1173
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i10,city_3,4way,balanced,medium,10608.5171,187.8571,0.8793,26721.911,0.5637,123.3934,0.0833
real_only,test,city3_i11,city_3,4way,balanced,low,16074.5587,274.0096,0.7253,25898.0267,0.6186,135.7073,0.1717
default_sim,test,city3_i11,city_3,4way,balanced,low,23180.1811,380.9676,0.5633,25120.194,0.6803,153.0744,0.24
calibrated_sim,test,city3_i11,city_3,4way,balanced,low,17569.4632,297.9099,0.6916,25820.2435,0.6366,141.0723,0.1881
calibrated_sim_plus_domain_randomization,test,city3_i11,city_3,4way,balanced,low,15686.7632,268.4417,0.7604,26131.3766,0.6021,133.511,0.1605
calibrated_sim_plus_opm,test,city3_i11,city_3,4way,balanced,low,13655.6535,229.6266,0.8165,26312.8709,0.5954,131.1052,0.1154
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i11,city_3,4way,balanced,low,10403.1642,184.6665,0.8793,26753.6428,0.5619,122.9423,0.081
real_only,test,city3_i12,city_3,4way,mild_imbalance,medium,15958.1985,274.2596,0.7257,23231.9368,0.7342,161.188,0.1731
default_sim,test,city3_i12,city_3,4way,mild_imbalance,medium,22738.8319,377.206,0.5654,22549.0622,0.806,181.3541,0.2395
calibrated_sim,test,city3_i12,city_3,4way,mild_imbalance,medium,17772.0565,300.5059,0.6927,23163.6494,0.7548,167.3248,0.1888
calibrated_sim_plus_domain_randomization,test,city3_i12,city_3,4way,mild_imbalance,medium,15492.857,268.0051,0.7611,23436.7992,0.7151,158.6174,0.162
calibrated_sim_plus_opm,test,city3_i12,city_3,4way,mild_imbalance,medium,13652.7526,231.3179,0.8173,23596.1366,0.7072,155.8096,0.1179
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i12,city_3,4way,mild_imbalance,medium,10729.1016,189.6142,0.8798,23983.0989,0.6686,146.4003,0.0844
real_only,test,city3_i13,city_3,3way,severe_imbalance,high,15409.3651,262.5362,0.7257,13443.34,0.294,64.5973,0.1761
default_sim,test,city3_i13,city_3,3way,severe_imbalance,high,21675.3962,356.8529,0.5652,13062.9727,0.3212,72.2754,0.24
calibrated_sim,test,city3_i13,city_3,3way,severe_imbalance,high,17075.4993,286.5719,0.6926,13405.3033,0.3021,67.0048,0.1916
calibrated_sim_plus_domain_randomization,test,city3_i13,city_3,3way,severe_imbalance,high,14659.1316,254.1519,0.761,13557.4502,0.2867,63.6341,0.1656
calibrated_sim_plus_opm,test,city3_i13,city_3,3way,severe_imbalance,high,13057.3142,221.7509,0.8173,13646.2025,0.2838,62.5759,0.1233
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i13,city_3,3way,severe_imbalance,high,10647.6101,186.0867,0.8797,13861.744,0.2689,58.9407,0.0909
real_only,test,city3_i14,city_3,4way,balanced,medium,16199.9774,275.9397,0.7253,25878.1944,0.6196,135.978,0.1728
default_sim,test,city3_i14,city_3,4way,balanced,medium,22772.7725,378.0184,0.5633,25111.1793,0.6803,153.0744,0.24
calibrated_sim,test,city3_i14,city_3,4way,balanced,medium,17782.8457,300.4921,0.6916,25801.4929,0.6376,141.3092,0.1891
calibrated_sim_plus_domain_randomization,test,city3_i14,city_3,4way,balanced,medium,15465.2876,267.4352,0.7604,26108.2989,0.6034,133.8267,0.1618
calibrated_sim_plus_opm,test,city3_i14,city_3,4way,balanced,medium,13761.6368,231.7672,0.8165,26287.2691,0.5969,131.466,0.1173
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i14,city_3,4way,balanced,medium,10765.4436,189.2367,0.8793,26721.911,0.5637,123.3934,0.0833
real_only,test,city3_i15,city_3,3way,balanced,low,1173.3613,19.9903,0.7284,13334.2243,0.0568,12.4663,0.1692
default_sim,test,city3_i15,city_3,3way,balanced,low,1595.4126,26.6921,0.5782,12933.7383,0.0628,13.9403,0.2281
calibrated_sim,test,city3_i15,city_3,3way,balanced,low,1250.5894,21.3524,0.6991,13294.1757,0.058,12.8754,0.1819
calibrated_sim_plus_domain_randomization,test,city3_i15,city_3,3way,balanced,low,1113.364,19.27,0.7651,13454.3701,0.0551,12.2328,0.1567
calibrated_sim_plus_opm,test,city3_i15,city_3,3way,balanced,low,947.1168,16.2413,0.8224,13547.8168,0.0544,11.986,0.1105
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i15,city_3,3way,balanced,low,749.3626,13.3542,0.8827,13774.7589,0.0515,11.2817,0.0782
real_only,test,city3_i16,city_3,4way,mild_imbalance,medium,16262.7867,276.8537,0.7257,23231.9368,0.7342,161.188,0.1731
default_sim,test,city3_i16,city_3,4way,mild_imbalance,medium,22508.2073,375.2986,0.5654,22549.0622,0.806,181.3541,0.2395
calibrated_sim,test,city3_i16,city_3,4way,mild_imbalance,medium,18198.4045,304.0909,0.6927,23163.6494,0.7548,167.3248,0.1888
calibrated_sim_plus_domain_randomization,test,city3_i16,city_3,4way,mild_imbalance,medium,15445.0657,267.5932,0.7611,23436.7992,0.7151,158.6174,0.162
calibrated_sim_plus_opm,test,city3_i16,city_3,4way,mild_imbalance,medium,13512.8854,230.1325,0.8173,23596.1366,0.7072,155.8096,0.1179
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i16,city_3,4way,mild_imbalance,medium,11040.0935,192.3472,0.8798,23983.0989,0.6686,146.4003,0.0844
real_only,test,city3_i17,city_3,4way,severe_imbalance,high,16779.949,284.1539,0.7252,21824.0696,0.9822,215.8402,0.1765
default_sim,test,city3_i17,city_3,4way,severe_imbalance,high,23313.9402,384.4652,0.563,21206.5771,1.0725,241.3234,0.24
calibrated_sim,test,city3_i17,city_3,4way,severe_imbalance,high,18390.2243,308.6848,0.6915,21762.3204,1.0105,224.0936,0.1925
calibrated_sim_plus_domain_randomization,test,city3_i17,city_3,4way,severe_imbalance,high,16017.7036,275.6214,0.7603,22009.3174,0.9584,212.7008,0.1662
calibrated_sim_plus_opm,test,city3_i17,city_3,4way,severe_imbalance,high,14212.3438,240.13,0.8164,22153.399,0.949,209.229,0.124
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i17,city_3,4way,severe_imbalance,high,11431.6405,200.0432,0.8792,22503.3114,0.8985,196.9683,0.0913
real_only,test,city3_i18,city_3,3way,mild_imbalance,medium,8787.5727,149.0804,0.7275,13317.6708,0.0935,20.5113,0.1716
default_sim,test,city3_i18,city_3,3way,mild_imbalance,medium,12025.2839,199.6849,0.5739,12926.214,0.1029,23.0001,0.2325
calibrated_sim,test,city3_i18,city_3,3way,mild_imbalance,medium,9637.641,161.6368,0.6969,13278.5251,0.0957,21.2138,0.1853
calibrated_sim_plus_domain_randomization,test,city3_i18,city_3,3way,mild_imbalance,medium,8424.5089,144.601,0.7637,13435.1078,0.0909,20.1545,0.1598
calibrated_sim_plus_opm,test,city3_i18,city_3,3way,mild_imbalance,medium,7135.7143,122.1369,0.8207,13526.4478,0.0897,19.7731,0.1151
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i18,city_3,3way,mild_imbalance,medium,5665.4975,100.8176,0.8817,13748.2733,0.0851,18.6185,0.0828
real_only,test,city3_i19,city_3,4way,balanced,medium,15923.1704,273.5823,0.7253,25878.1944,0.6196,135.978,0.1728
default_sim,test,city3_i19,city_3,4way,balanced,medium,22604.04,376.6244,0.5633,25111.1793,0.6803,153.0744,0.24
calibrated_sim,test,city3_i19,city_3,4way,balanced,medium,17907.8417,301.5424,0.6916,25801.4929,0.6376,141.3092,0.1891
calibrated_sim_plus_domain_randomization,test,city3_i19,city_3,4way,balanced,medium,15590.4822,268.5143,0.7604,26108.2989,0.6034,133.8267,0.1618
calibrated_sim_plus_opm,test,city3_i19,city_3,4way,balanced,medium,13406.4182,228.7582,0.8165,26287.2691,0.5969,131.466,0.1173
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i19,city_3,4way,balanced,medium,10858.2644,190.0527,0.8793,26721.911,0.5637,123.3934,0.0833
real_only,test,city3_i20,city_3,4way,balanced,low,15812.5658,271.7771,0.7253,25898.0267,0.6186,135.7073,0.1717
default_sim,test,city3_i20,city_3,4way,balanced,low,22854.2312,378.2741,0.5633,25120.194,0.6803,153.0744,0.24
calibrated_sim,test,city3_i20,city_3,4way,balanced,low,18132.3643,302.6423,0.6916,25820.2435,0.6366,141.0723,0.1881
calibrated_sim_plus_domain_randomization,test,city3_i20,city_3,4way,balanced,low,15209.051,264.3205,0.7604,26131.3766,0.6021,133.511,0.1605
calibrated_sim_plus_opm,test,city3_i20,city_3,4way,balanced,low,13505.3144,228.3522,0.8165,26312.8709,0.5954,131.1052,0.1154
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i20,city_3,4way,balanced,low,10674.0064,187.0522,0.8793,26753.6428,0.5619,122.9423,0.081
real_only,test,city3_i21,city_3,3way,mild_imbalance,medium,8706.6504,148.39,0.7275,13317.6708,0.0935,20.5113,0.1716
default_sim,test,city3_i21,city_3,3way,mild_imbalance,medium,12160.5818,200.8101,0.5739,12926.214,0.1029,23.0001,0.2325
calibrated_sim,test,city3_i21,city_3,3way,mild_imbalance,medium,9586.5905,161.206,0.6969,13278.5251,0.0957,21.2138,0.1853
calibrated_sim_plus_domain_randomization,test,city3_i21,city_3,3way,mild_imbalance,medium,8316.1252,143.664,0.7637,13435.1078,0.0909,20.1545,0.1598
calibrated_sim_plus_opm,test,city3_i21,city_3,3way,mild_imbalance,medium,7328.1457,123.7743,0.8207,13526.4478,0.0897,19.7731,0.1151
calibrated_sim_plus_domain_randomization_plus_opm,test,city3_i21,city_3,3way,mild_imbalance,medium,5740.9709,101.483,0.8817,13748.2733,0.0851,18.6185,0.0828
